epoch_no,total_unique_stake_addresses
537,32277
538,33686
539,34891
540,35944
541,36903
542,37587
543,39068
544,39921
545,40511
546,41130
547,42225
548,43062
549,43853
550,44612
551,45432
552,46319
553,47399
554,48502
555,49310
556,50246
557,51511
558,52523
559,53543
560,54388
561,55104
562,55736
563,56429
564,57152
565,57859
566,58486
567,59100
568,59662
569,60729
570,62151
571,63526
572,64509
573,65494
574,67175
575,68887
576,71034
577,72209
578,73187
579,73997
580,74709
581,75560
582,76549
583,77359
584,77930
585,78452
586,79142
587,79700
588,80508
589,81169
590,81541
591,81966
592,82324
593,82649
594,82966
595,83405
596,84064
597,84711
598,85477
599,86232
600,86929
601,87571
602,88316
603,89259
604,90332
605,91121
606,91784
607,92411
608,93040
609,93659
