epoch_no,circulating_ada,abstain_ada,no_confidence_ada,active_drep_ada,inactive_drep_ada,not_delegated_ada,active_voting_pct
537,35185844017.06,2390729766.63,140485275.61,2915547572.13,80040636.87,29659040765.82,8.69
538,35193500774.44,2596310240.60,143597069.78,3138254397.76,103686804.54,29211652261.76,9.33
539,35197202831.96,3209062877.31,147623542.22,3336001497.12,102432650.92,28402082264.39,9.90
540,35201193525.87,4936334075.80,147965115.20,3471712909.73,116344555.62,26528836869.52,10.28
541,35204786637.29,5125503731.97,156666720.70,3620896529.79,23111879.82,26278607775.01,10.73
542,35207580215.77,5173564845.83,158352948.99,3684947107.62,22542406.18,26168172907.15,10.92
543,35212423444.40,5347522595.75,157438628.54,3740582749.51,22991659.07,25943887811.53,11.07
544,35224212741.27,5385885543.14,162292141.23,3856150574.12,20872731.23,25799011751.55,11.41
545,35230631106.54,5422156076.02,164766222.55,3862552362.07,23401150.86,25757755295.04,11.43
546,35234797228.45,5339683946.85,165294135.48,4032575593.43,26472224.93,25670771327.76,11.91
547,35238941062.75,5466330655.73,166096149.68,4073689180.19,30989237.57,25501835839.58,12.03
548,35242104181.19,5511733222.50,165004981.92,4144137112.22,31255014.99,25389973849.56,12.23
549,35268011575.20,5562156873.92,166512900.35,4192599906.86,30636658.01,25316105236.07,12.36
550,35274323538.58,5634603098.59,167592146.92,4483533531.94,38600075.76,24949994685.37,13.19
551,35281021301.54,5659088317.75,168190520.02,4586948120.80,39450358.40,24827343984.56,13.48
552,35287114426.69,5713509849.79,168259084.37,4728054801.23,51103056.97,24626187634.33,13.88
553,35290300162.93,5731921868.66,169167756.57,4771972754.02,52521043.62,24564716740.05,14.00
554,35298485421.75,5764026121.09,169450490.08,4952675124.81,49548769.55,24362784916.21,14.51
555,35302796703.74,5927467544.64,169712240.88,4999502776.01,49247255.17,24156866887.04,14.64
556,35308636904.39,5953827081.74,171230805.91,5048291841.03,50248966.00,24085038209.72,14.78
557,35312950699.40,6040097686.87,171099294.74,5088581419.29,49934108.44,23963238190.07,14.89
558,35320106571.10,6077954900.58,170523508.23,5155809359.27,49869641.75,23865949161.27,15.08
559,35324161322.98,6135549381.82,172177184.64,5076709968.05,65178216.21,23874546572.26,14.86
560,35334514487.47,6249066364.03,174073774.57,5262940026.70,69251740.92,23579182581.24,15.39
561,35337743183.18,6252246037.78,174642296.72,5243142555.57,76770974.23,23590941318.87,15.33
562,35342129025.25,6280644114.65,175808602.55,5236865971.33,125627105.81,23523183230.90,15.32
563,35346979015.39,6314751682.95,176435492.91,5240458326.64,126426869.60,23488906643.29,15.32
564,35356538084.56,6398565216.45,176688092.50,5325577714.23,143561418.39,23312145642.99,15.56
565,35364662596.81,6823234153.53,176615212.37,5041847136.06,145916756.70,23177049338.14,14.76
566,35372023764.02,6743610443.66,177675199.39,5098008648.46,147160610.07,23205568862.43,14.91
567,35376156272.84,6817044730.66,177615553.82,5091770244.02,141000570.19,23148725174.15,14.90
568,35384048918.14,6936379356.23,177721698.74,5111033210.42,133692048.31,23025222604.44,14.95
569,35388198743.40,7022578461.03,176556289.97,5126861967.71,135094758.07,22927107266.62,14.99
570,35395351625.88,7031274888.97,178419250.82,5204285350.86,103974619.48,22877397515.75,15.21
571,35398491999.09,7012518577.64,173438204.52,5212776124.68,104045717.47,22895713374.78,15.22
572,35408492715.29,7136824173.04,173235139.77,5161054410.57,103283053.42,22834095938.50,15.07
573,35412895644.52,7138807713.08,173923641.72,5199131828.19,103704638.44,22797327823.08,15.17
574,35418267108.58,7170517886.65,173702659.62,5224041877.18,99810506.61,22750194178.51,15.24
575,35427329007.83,7347736013.00,171345956.31,5292330105.67,98405154.91,22517511777.94,15.42
576,35609095291.32,7462211491.34,177219643.39,5371819922.76,93032999.98,22504811233.85,15.58
577,35698219657.73,7513776884.33,179168539.08,5414018173.49,88604533.08,22502651527.75,15.67
578,35724891762.86,7664928312.75,178215906.91,5375422111.01,111935850.20,22394389582.00,15.55
579,35731844808.46,7688271305.87,174036425.22,5412899794.12,116243406.19,22340393877.06,15.64
580,35740930890.56,7683974070.79,173321211.88,5430796266.41,115014406.87,22337824934.62,15.68
581,35767053299.79,7707118421.14,173292698.96,5493157568.62,133063727.41,22260420883.66,15.84
582,35780279479.68,7678525422.45,173131331.98,5485017412.00,130175310.96,22313430002.30,15.81
583,35791993628.26,7734642778.45,172153179.08,5443770137.38,139523834.45,22301903698.90,15.69
584,35800453490.39,7767394007.72,173187493.77,5469514948.68,145783432.39,22244573607.83,15.76
585,35813736846.86,7816858989.78,171848138.11,5498892496.55,143596010.76,22182541211.65,15.83
586,35818890118.11,7836842665.24,172753236.01,5519297862.06,141931642.17,22148064712.62,15.89
587,35827299997.72,7931672976.01,172995731.67,5470956428.34,150949440.06,22100725421.65,15.75
588,35834505705.16,7932540769.81,171891875.02,5452393816.50,151219768.24,22126459475.59,15.70
589,35841169112.96,8006218473.70,173074047.55,5442421227.05,174787633.20,22044667731.45,15.67
590,35850699609.68,7932552537.95,172527492.89,5447874235.24,175264937.68,22122480405.92,15.68
591,35854459397.42,7975813450.28,171412010.24,5439734936.04,178203995.64,22089295005.22,15.65
592,35860558784.35,8067594600.53,172921196.08,5462668111.57,176789445.30,21980585430.86,15.72
593,35866283823.41,8038913615.81,172770566.24,5445445971.17,180869087.11,22028284583.08,15.66
594,35871059005.02,8003781019.16,171853493.16,5415289888.53,219788068.09,22060346536.07,15.58
595,35877707945.19,8003727491.03,171267980.39,5406261218.70,226761092.80,22069690162.27,15.55
596,35889744277.18,7915918873.59,171545409.93,5404419173.32,242423321.11,22155437499.23,15.54
597,35893941446.26,7886837333.81,173036814.86,5318196181.12,243704924.49,22272166191.98,15.30
598,35898690325.61,7997583660.73,174671424.27,5388613983.46,192109667.90,22145711589.25,15.50
599,35902711180.55,7903657742.03,173686646.79,5409719667.64,175860197.79,22239786926.30,15.55
600,35910312071.29,7878975483.95,173480130.65,5397071844.24,176264052.53,22284520559.93,15.51
601,35921121858.13,7963896182.04,192507961.28,5421115491.36,149103878.38,22194498345.07,15.63
602,35925947464.90,8018599751.83,192539196.53,5429854557.11,150857238.63,22134096720.79,15.65
603,35932600980.31,7985948124.24,191458104.99,5446532525.63,140821493.32,22167840732.13,15.69
