"Tidsmerke","M1-A - What, if any, is the biggest barrier preventing you from participating more actively in Cardano governance? (Select one)","M1-B - What, if any, type of information would most help you make governance decisions? (Select one)","M2-A - What, if any, is the biggest barrier to delegating your voting power to a DRep to vote on your behalf? (Select one)","M2-B - Where do you look for information when selecting a DRep? (Select one)","M3-A - Of these options, what would most likely cause you to change your DRep delegation? (Select one)","M4/M5-A - Do you think DRep voting power has become more concentrated since the role was established? If so what do you think contributes most to this change? (Select one)","M4/M5-B - What, if any, would most help distribute voting power more evenly across DReps? (Select one)","M7-A - What, if any, would most help increase the number of active DReps in Cardano governance? (Select one)","M9-A - When ada holders rarely change their stake pool delegation over time, what do you believe this most likely indicates?","M10-B - What is an acceptable timeframe for the Constitutional Committee to review and vote on a governance action? (Select one)","What improvements would you most like to see in Cardano’s governance system?","Which of these roles best describes your involvement in the Cardano ecosystem? (Select all that apply)","How long have you been actively involved in the Cardano ecosystem?"
"2026/01/20 12:02:39 a.m. EET","No significant barrier - I participate as much as I do or don’t prefer","I have sufficient information to make decisions","No significant barrier - I have delegated or find it easy to do so","SPO or other trusted community member endorsements","DRep becoming inactive or missing votes","concentrating is probably okay to a point, we arent near that point","No changes needed - current distribution is appropriate","No changes needed - current DRep numbers are adequate","Delegators are satisfied with their pool’s performance and see no reason to change","Depends on the complexity of the proposal","","Ada Holder;Developer","3-5 years"
"2026/01/20 9:06:28 p.m. EET","Unclear what impact my participation would have / perception of lack of impact","Historical outcomes of similar past proposals","No significant barrier - I have delegated or find it easy to do so","I don’t look for information - I delegate to someone I already know","DRep voted in a way I disagreed with","Lack of incentives for delegating to smaller DReps","Limits on maximum voting power per DRep","Compensation or incentives for active DRep participation","Both satisfaction and passive habits contribute to stable delegation patterns","Depends on the complexity of the proposal","Better voting tools, DRep compensation and clear voting impact","Ada Holder;General Community Member / Enthusiast","3-5 years"
"2026/01/22 6:29:45 p.m. EET","Unclear what impact my participation would have / perception of lack of impact","Expert analysis of proposal technical implications","Hard to discover what DReps exist","Community forums or social media recommendations","DRep not publishing on-chain rationales for their votes","Default delegation options in wallet applications","Better tools for discovering and comparing DReps","Improved tools for DReps to communicate with potential delegators","Delegators are not actively monitoring pool performance or governance participation","Within 4-6 epochs (20-30 days) - Maximum before action expires","Accountability for projects completing what was promised. ","Ada Holder","3-5 years"
"2026/01/24 11:04:43 a.m. EET","Governance proposals are too technical to evaluate","Historical outcomes of similar past proposals","DReps don’t clearly communicate their values or positions","DRep profiles and published political / governance perspectives","DRep becoming inactive or missing votes","Well-known DReps attract more delegation regardless of performance","Better tools for discovering and comparing DReps","Compensation or incentives for active DRep participation","Both satisfaction and passive habits contribute to stable delegation patterns","Depends on the complexity of the proposal","Clearer proposal summaries, standardized impact assessments, improved DRep discovery and comparison tools, and more transparent Constitutional Committee rationales would significantly strengthen governance participation and trust.","Ada Holder;DRep (Delegated Representative);General Community Member / Enthusiast","3-5 years"
"2026/01/24 6:37:54 p.m. EET","Voting tools are difficult to access or use","Historical outcomes of similar past proposals","Difficult to compare DReps to each other","","","","","","","","gov.tools site much faster and also does hosting for drep rationales instead of drep hosting it elsewhere.
having all the information for a proposal including discussion, rationales, comments all in one spot to make it easier to make a decision","Ada Holder;DRep (Delegated Representative)","3-5 years"
"2026/01/26 11:10:27 a.m. EET","Governance proposals are too technical to evaluate","Expert analysis of proposal technical implications","No significant barrier - I have delegated or find it easy to do so","","","Well-known DReps attract more delegation regardless of performance","Encouraging ada holders to periodically review their delegation","Compensation or incentives for active DRep participation","Delegators are not actively monitoring pool performance or governance participation","Within 2-3 epochs (10-15 days)","Implementing decentralized identity (DID) solutions to move from a ""one-coin-one-vote"" system (which favors whales) toward a more balanced, equitable model that ensures fair representation. ","Ada Holder;Proposal Submitter / Project Catalyst Veteran;General Community Member / Enthusiast","2-3 years"
"2026/01/28 10:03:16 p.m. EET","Unclear what impact my participation would have / perception of lack of impact","Expert analysis of proposal technical implications","No significant barrier - I have delegated or find it easy to do so","I don’t look for information - I delegate to someone I already know","DRep becoming inactive or missing votes","Ada holders don’t actively manage or reconsider their delegations","Limits on maximum voting power per DRep","Compensation or incentives for active DRep participation","Delegators are not actively monitoring pool performance or governance participation","Within 2-3 epochs (10-15 days)","","Ada Holder;DRep (Delegated Representative);SPO (Stake Pool Operator);Proposal Submitter / Project Catalyst Veteran;General Community Member / Enthusiast","3-5 years"
"2026/02/01 5:05:14 p.m. EET","No significant barrier - I participate as much as I do or don’t prefer","Expert analysis of proposal technical implications","No significant barrier - I have delegated or find it easy to do so","I don’t look for information - I delegate to someone I already know","DRep not publishing on-chain rationales for their votes","Well-known DReps attract more delegation regardless of performance","Incentives for delegating to smaller or newer DReps","Greater visibility for new DReps in discovery platforms","Delegators are not actively monitoring pool performance or governance participation","Depends on the complexity of the proposal","More intentionality in reducing barriers to participation. Including supporting less resourced Dreps","Ada Holder;Proposal Submitter / Project Catalyst Veteran;General Community Member / Enthusiast","More than 5 years"
"2026/02/03 2:39:12 p.m. EET","No significant barrier - I participate as much as I do or don’t prefer","","Prefer to vote directly","Community forums or social media recommendations","I would not change my delegation / Not applicable","I don’t believe voting power is overly concentrated","No changes needed - current distribution is appropriate","Greater visibility for new DReps in discovery platforms","Delegators are not actively monitoring pool performance or governance participation","Depends on the complexity of the proposal","Separate cardano app, an information app that explains in layman's terms things going on within the ada ecoystem. Eg. Forming a global voting system and piggybacking on existing Microsoft technologies as soon in funding round XYZ would you support a global based app that handled worldly affairs almost instantaneously with on chain immutable statistics updated realtime to your phone.","Ada Holder;Proposal Submitter / Project Catalyst Veteran;Developer;Researcher / Academic;General Community Member / Enthusiast","More than 5 years"
"2026/02/07 9:36:41 p.m. EET","Governance proposals are too technical to evaluate","Expert analysis of proposal technical implications","Difficult to compare DReps to each other","I don’t look for information - I delegate to someone I already know","Learning about a DRep with different values or voting patterns","Several of these: dificult to discover new/smaker Dreps, it is more a popularity contest than What Dreps actually preform, default delegation in wallet ","Better tools for discovering and comparing DReps","Compensation or incentives for active DRep participation","The process of evaluating and switching pools is too difficult or time-consuming","Depends on the complexity of the proposal","User adaptation! Blockchain tech is made by and for IT experts and finance competente people. We need to start building tech for the users. Not for our self","Ada Holder;Researcher / Academic;General Community Member / Enthusiast;Other Cardano Project","Less than 1 year"
